Release Date,Time,Actual,Forecast,Previous
"Mar 01, 1991 (Feb)",4:00,-49.10K,,-40.50K
"Feb 01, 1991 (Jan)",4:00,-40.50K,,-50.60K
"Jan 01, 1991 (Dec)",4:00,-50.60K,,-54.00K
"Dec 01, 1990 (Nov)",4:00,-54.00K,,-50.20K
"Nov 01, 1990 (Oct)",4:00,-50.20K,,-10.80K
"Oct 01, 1990 (Sep)",4:00,-10.80K,,-13.30K
"Sep 01, 1990 (Aug)",4:00,-13.30K,,-20.80K
"Aug 01, 1990 (Jul)",4:00,-20.80K,,32.50K
"Jul 01, 1990 (Jun)",4:00,32.50K,,-39.40K
"Jun 01, 1990 (May)",4:00,-39.40K,,15.20K
"May 01, 1990 (Apr)",4:00,15.20K,,-8.80K
"Apr 01, 1990 (Mar)",4:00,-8.80K,,33.50K
"Mar 01, 1990 (Feb)",4:00,33.50K,,34.60K
"Feb 01, 1990 (Jan)",4:00,34.60K,,7.10K
"Jan 01, 1990 (Dec)",4:00,7.10K,,25.20K
"Dec 01, 1989 (Nov)",4:00,25.20K,,5.00K
"Nov 01, 1989 (Oct)",4:00,5.00K,,0.40K
"Oct 01, 1989 (Sep)",4:00,0.40K,,49.30K
"Sep 01, 1989 (Aug)",4:00,49.30K,,0.40K
"Aug 01, 1989 (Jul)",4:00,0.40K,,17.20K
"Jul 01, 1989 (Jun)",4:00,17.20K,,2.30K
"Jun 01, 1989 (May)",4:00,2.30K,,-22.50K
"May 01, 1989 (Apr)",4:00,-22.50K,,45.60K
"Apr 01, 1989 (Mar)",4:00,45.60K,,14.80K
"Mar 01, 1989 (Feb)",4:00,14.80K,,72.60K
"Feb 01, 1989 (Jan)",4:00,72.60K,,53.60K
"Jan 01, 1989 (Dec)",4:00,53.60K,,30.80K
"Dec 01, 1988 (Nov)",4:00,30.80K,,32.20K
"Nov 01, 1988 (Oct)",4:00,32.20K,,12.80K
"Oct 01, 1988 (Sep)",4:00,12.80K,,8.20K
"Sep 01, 1988 (Aug)",4:00,8.20K,,13.70K
"Aug 01, 1988 (Jul)",4:00,13.70K,,18.40K
