Release Date,Time,Actual,Forecast,Previous,
"Jan 01, 1983 (Dec)",4:00,42.8,,39.2,
"Dec 01, 1982 (Nov)",4:00,39.2,,39.4,
"Nov 01, 1982 (Oct)",4:00,39.4,,38.8,
"Oct 01, 1982 (Sep)",4:00,38.8,,38.3,
"Sep 01, 1982 (Aug)",4:00,38.3,,38.4,
"Aug 01, 1982 (Jul)",4:00,38.4,,38.3,
"Jul 01, 1982 (Jun)",4:00,38.3,,35.5,
"Jun 01, 1982 (May)",4:00,35.5,,37.8,
"May 01, 1982 (Apr)",4:00,37.8,,36.8,
"Apr 01, 1982 (Mar)",4:00,36.8,,38.3,
"Mar 01, 1982 (Feb)",4:00,38.3,,38.2,
"Feb 01, 1982 (Jan)",4:00,38.2,,37.8,
"Jan 01, 1982 (Dec)",4:00,37.8,,36.1,
"Dec 01, 1981 (Nov)",4:00,36.1,,40,
"Nov 01, 1981 (Oct)",4:00,40,,42.5,
"Oct 01, 1981 (Sep)",4:00,42.5,,48.3,
"Sep 01, 1981 (Aug)",4:00,48.3,,46.7,
"Aug 01, 1981 (Jul)",4:00,46.7,,50.7,
"Jul 01, 1981 (Jun)",4:00,50.7,,53.5,
"Jun 01, 1981 (May)",4:00,53.5,,51.6,
"May 01, 1981 (Apr)",4:00,51.6,,49.6,
"Apr 01, 1981 (Mar)",4:00,49.6,,48.8,
"Mar 01, 1981 (Feb)",4:00,48.8,,49.2,
"Feb 01, 1981 (Jan)",4:00,49.2,,53,
"Jan 01, 1981 (Dec)",4:00,53,,58.2,
"Dec 01, 1980 (Nov)",4:00,58.2,,55.5,
"Nov 01, 1980 (Oct)",4:00,55.5,,50.1,
"Oct 01, 1980 (Sep)",4:00,50.1,,45.5,
"Sep 01, 1980 (Aug)",4:00,45.5,,35,
"Aug 01, 1980 (Jul)",4:00,35,,30.3,
"Jul 01, 1980 (Jun)",4:00,30.3,,29.4,
"Jun 01, 1980 (May)",4:00,29.4,,37.4,
"May 01, 1980 (Apr)",4:00,37.4,,43.6,
"Apr 01, 1980 (Mar)",4:00,43.6,,50.2,
"Mar 01, 1980 (Feb)",4:00,50.2,,46.2,
"Feb 01, 1980 (Jan)",4:00,46.2,,44.8,
"Jan 01, 1980 (Dec)",4:00,44.8,,48,
"Dec 01, 1979 (Nov)",4:00,48,,49,
"Nov 01, 1979 (Oct)",4:00,49,,49.6,
"Oct 01, 1979 (Sep)",4:00,49.6,,49.5,
"Sep 01, 1979 (Aug)",4:00,49.5,,51.3,
